2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen","Pivovar Zlatopramen"
"Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA","Grupo Cruzcampo SA"
,,"Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company","Al Ahram Beverages Company"
,,"Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L.","Brasserie Almaza S.A.L."
,,,"Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG","Brau Union Österreich AG"
,,,"Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara","Karlova&#267;ka Pivovara"
,,,"Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A.","Brasserie Lorraine S.A."
,,,"Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)","Bere Craiova (Brau-Union Romania)"
,,,"Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)","Malbera S.A. (Brau-Union Romania)"
,,,"Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)","Silva Reghin S.A. (Brau-Union Romania)"
